participant,Start Date,age,race,gender,gender_other,prsri_1,prsri_2,prsri_3,prsri_4,prsri_5,prsri_6,prsri_7,prsri_8,psqi_1_hour,psqi_1_min,psqi_1_ampm,psqi_2,psqi_3_hour,psqi_3_min,psqi_3_ampm,psqi_4,psqi_5a,psqi_5b,psqi_6,meq_19,erqf_1,erqf_2,erqf_3,erqf_4,erqf_5,erqf_6,erqf_7,erqf_8,erqf_9,erqf_10,erqdf_1,erqdf_2,erqdf_3,erqdf_4,pers_1,pers_2,pers_3,pers_4,pers_5,pers_6,pers_7,pers_8,pers_9,pers_10,pers_11,pers_12,pers_13,pers_14,pers_15,pers_16,pers_17,pers_18,pers_19,pers_20,pers_21,pers_22,pers_23,pers_24,pers_25,pers_26,pers_27,pers_28,pers_29,pers_30,erqse_1,erqse_2,erqse_3,erqse_4,erqse_5,erqse_6,erqse_7,erqse_8,erqse_att,erqse_9,erqse_10,erqse_11,erqse_12,erqse_13,erqse_14
0001,9/28/2018 14:02,21,White / European American,Male,,A little bit,Not at all,Somewhat,A little bit,A little bit,Somewhat,Somewhat,Somewhat,12,0,AM,20,8,0,AM,7.5,Less than once a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,4,6,4,2,4,6,5,5,4,5,1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,9/28/2018 14:06,19,White / European American,Female,,A little bit,Very much,A little bit,Not at all,Not at all,Not at all,Not at all,Not at all,10,15,PM,10,8,0,AM,9.5,Not during the past month,Once or twice a week,Very good,Definitely a morning type,4,2,5,1,4,1,4,4,1,5,2,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,9/28/2018 14:29,19,Asian / Asian American,Female,,Quite a bit,Somewhat,Quite a bit,Somewhat,Somewhat,Not at all,A little bit,A little bit,1,30,AM,20,9,0,AM,7.5,Less than once a week,Less than once a week,Fairly good,Definitely an evening type,4,4,4,2,4,2,4,4,6,4,4,4,4,4,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,6,6,5,4,3,4,6,6,5,5,4,6,6,6,6
0004,9/28/2018 14:23,19,Native American / Alaska Native,Male,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,11,30,PM,15,5,30,AM,6,Not during the past month,Not during the past month,Very good,Definitely a morning type,5,5,5,4,5,5,6,5,6,6,7,7,7,7,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Very unlike me,Somewhat like me,Very unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Very unlike me,5,6,5,3,4,6,5,5,5,5,5,6,6,4,4
0005,9/28/2018 14:59,18,Black / African American,Female,,Very much,Somewhat,Very much,Very much,Very much,A little bit,Very much,Very much,2,0,AM,5,9,0,AM,6,Less than once a week,Once or twice a week,Fairly good,Rather more a morning type than an evening type,5,4,5,2,3,1,3,4,3,5,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006,9/28/2018 14:52,19,White / European American,Female,,A little bit,Quite a bit,A little bit,A little bit,A little bit,A little bit,A little bit,A little bit,11,10,PM,15,9,40,AM,10,Less than once a week,Not during the past month,Very good,Definitely an evening type,5,2,4,1,6,1,5,5,2,5,3,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,9/28/2018 15:15,18,White / European American,Female,,Somewhat,Somewhat,A little bit,A little bit,Quite a bit,A little bit,A little bit,Quite a bit,12,4,AM,9,8,0,AM,7,Less than once a week,Once or twice a week,Fairly good,Rather more an evening type than a morning type,6,2,5,1,7,2,5,5,3,3,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,9/28/2018 15:23,20,White / European American,Female,,Not at all,Quite a bit,A little bit,Not at all,Not at all,Not at all,A little bit,Not at all,11,0,PM,15,8,30,AM,9,Less than once a week,Not during the past month,Very good,Definitely an evening type,5,3,5,2,5,2,5,4,3,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009,9/28/2018 15:30,18,"Asian / Asian American,White / European American",Female,,Somewhat,Somewhat,Quite a bit,A little bit,A little bit,A little bit,Somewhat,A little bit,2,0,AM,20,8,40,AM,7,Once or twice a week,Less than once a week,Fairly good,Definitely an evening type,6,3,6,2,5,3,5,5,4,5,6,5,6,6,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Very like me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Very unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat like me,6,3,5,5,6,3,5,6,5,5,5,5,4,5,5
0010,9/28/2018 15:26,17,"Black / African American,White / European American",Female,,A little bit,Not at all,Somewhat,A little bit,A little bit,Not at all,A little bit,A little bit,2,0,AM,10,9,0,AM,7,Not during the past month,Not during the past month,Fairly good,Rather more a morning type than an evening type,5,5,5,1,5,4,5,5,5,5,3,4,3,4,Somewhat like me,Neither like or unlike me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very like me,Very like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,5,7,5,2,6,4,3,5,5,6,5,5,5,6,5
